"Good_Rating","Checking Account Status","Duration","Credit History","Purpose","Amount","Savings Account/Bonds","Present Employment since","Installment rate in % of disposable income","Personal Status","Other debtors","Present residence since","Property","Age","Other installment plans","Housing","Number of existing credits","Job type","Number of dependents","Telephone","Foreign worker"
"true","no checking account ",24,"existing credits paid back duly till now ","radio television ",3430,"500 to 1000 DM ","Greater than 7 years ",3,"male single ","none ",2,"0 to 200 DM 3",31,"no checking account 3","own ",1,"skilled employee official ",2,"yes registered under the customers name ","yes "
"true","no checking account ",9,"critical account other credits existing (not at this bank) ","new car  ",2134,"Less than 100 DM","1 to 4 years ",4,"male single ","none ",4,"0 to 200 DM 3",48,"no checking account 3","own ",3,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",6,"existing credits paid back duly till now ","radio television ",2647,"500 to 1000 DM ","1 to 4 years ",2,"male single ","none ",3,"0 to 200 DM 1",44,"no checking account 3","rent ",1,"skilled employee official ",2,"none ","yes "
"true","Less than 0 DM ",10,"critical account other credits existing (not at this bank) ","new car  ",2241,"Less than 100 DM","Less than 1 year ",1,"male single ","none ",3,"0 to 200 DM 1",48,"no checking account 3","rent ",2,"unskilled - resident ",2,"none ","no "
"true","0 to 200 DM ",12,"critical account other credits existing (not at this bank) ","used car  ",1804,"100 to 500 DM ","Less than 1 year ",3,"male single ","none ",4,"0 to 200 DM 2",44,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",10,"critical account other credits existing (not at this bank) ","furniture equipment ",2069,"unknown no savings account ","1 to 4 years ",2,"male married widowed ","none ",1,"0 to 200 DM 3",26,"no checking account 3","own ",2,"skilled employee official ",1,"none ","no "
"true","Less than 0 DM ",6,"existing credits paid back duly till now ","furniture equipment ",1374,"Less than 100 DM","1 to 4 years ",1,"male single ","none ",2,"0 to 200 DM 1",36,"no checking account 1","own ",1,"unskilled - resident ",1,"yes registered under the customers name ","yes "
"true","no checking account ",6,"no credits taken all credits paid back duly ","radio television ",426,"Less than 100 DM","Greater than 7 years ",4,"male married widowed ","none ",4,"0 to 200 DM 3",39,"no checking account 3","own ",1,"unskilled - resident ",1,"none ","yes "
"true","Greater than 200 DM",12,"all credits at this bank paid back duly","radio television ",409,"Greater than 1000 DM ","1 to 4 years ",3,"female divorced separated married ","none ",3,"0 to 200 DM 1",42,"no checking account 3","rent ",2,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",7,"existing credits paid back duly till now ","radio television ",2415,"Less than 100 DM","1 to 4 years ",3,"male single ","guarantor ",2,"0 to 200 DM 1",34,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"false","Less than 0 DM ",60,"delay in paying off in the past ","business ",6836,"Less than 100 DM","Greater than 7 years ",3,"male single ","none ",4,"0 to 200 DM 4",63,"no checking account 3","own ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",18,"existing credits paid back duly till now ","business ",1913,"Greater than 1000 DM ","Less than 1 year ",3,"male married widowed ","none ",3,"0 to 200 DM 1",36,"no checking account 1","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",24,"existing credits paid back duly till now ","furniture equipment ",4020,"Less than 100 DM","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 3",27,"no checking account 2","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",18,"existing credits paid back duly till now ","new car  ",5866,"100 to 500 DM ","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 3",30,"no checking account 3","own ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",12,"critical account other credits existing (not at this bank) ","business ",1264,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 4",57,"no checking account 3","rent ",1,"unskilled - resident ",1,"none ","yes "
"true","Greater than 200 DM",12,"existing credits paid back duly till now ","furniture equipment ",1474,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","none ",1,"0 to 200 DM 2",33,"no checking account 1","own ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",45,"critical account other credits existing (not at this bank) ","radio television ",4746,"Less than 100 DM","Less than 1 year ",4,"male single ","none ",2,"0 to 200 DM 2",25,"no checking account 3","own ",2,"unskilled - resident ",1,"none ","yes "
"true","no checking account ",48,"critical account other credits existing (not at this bank) ","education ",6110,"Less than 100 DM","1 to 4 years ",1,"male single ","none ",3,"0 to 200 DM 4",31,"no checking account 1","for free ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","Greater than 200 DM",18,"existing credits paid back duly till now ","radio television ",2100,"Less than 100 DM","1 to 4 years ",4,"male single ","co-applicant ",2,"0 to 200 DM 1",37,"no checking account 2","own ",1,"skilled employee official ",1,"none ","yes "
"true","Greater than 200 DM",10,"existing credits paid back duly till now ","domestic appliances ",1225,"Less than 100 DM","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 3",37,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",9,"existing credits paid back duly till now ","radio television ",458,"Less than 100 DM","1 to 4 years ",4,"male single ","none ",3,"0 to 200 DM 1",24,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",30,"existing credits paid back duly till now ","radio television ",2333,"500 to 1000 DM ","Greater than 7 years ",4,"male single ","none ",2,"0 to 200 DM 3",30,"no checking account 1","own ",1,"management self-employed highly qualified employee officer ",1,"none ","yes "
"true","0 to 200 DM ",12,"existing credits paid back duly till now ","radio television ",1158,"500 to 1000 DM ","1 to 4 years ",3,"male divorced separated ","none ",1,"0 to 200 DM 3",26,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",18,"delay in paying off in the past ","repairs ",6204,"Less than 100 DM","1 to 4 years ",2,"male single ","none ",4,"0 to 200 DM 1",44,"no checking account 3","own ",1,"unskilled - resident ",2,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",30,"critical account other credits existing (not at this bank) ","used car  ",6187,"100 to 500 DM ","4 to 7 years ",1,"male married widowed ","none ",4,"0 to 200 DM 3",24,"no checking account 3","rent ",2,"skilled employee official ",1,"none ","yes "
"false","Less than 0 DM ",48,"critical account other credits existing (not at this bank) ","used car  ",6143,"Less than 100 DM","Greater than 7 years ",4,"female divorced separated married ","none ",4,"0 to 200 DM 4",58,"no checking account 2","for free ",2,"unskilled - resident ",1,"none ","yes "
"true","no checking account ",11,"critical account other credits existing (not at this bank) ","new car  ",1393,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","none ",4,"0 to 200 DM 3",35,"no checking account 3","own ",2,"management self-employed highly qualified employee officer ",1,"none ","yes "
"true","no checking account ",36,"existing credits paid back duly till now ","radio television ",2299,"500 to 1000 DM ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 3",39,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","Less than 0 DM ",6,"existing credits paid back duly till now ","used car  ",1352,"500 to 1000 DM ","unemployed ",1,"female divorced separated married ","none ",2,"0 to 200 DM 2",23,"no checking account 3","rent ",1,"unemployed unskilled - non-resident ",1,"yes registered under the customers name ","yes "
"true","no checking account ",11,"critical account other credits existing (not at this bank) ","new car  ",7228,"Less than 100 DM","1 to 4 years ",1,"male single ","none ",4,"0 to 200 DM 2",39,"no checking account 3","own ",2,"unskilled - resident ",1,"none ","yes "
"true","no checking account ",12,"existing credits paid back duly till now ","radio television ",2073,"100 to 500 DM ","1 to 4 years ",4,"female divorced separated married ","co-applicant ",2,"0 to 200 DM 1",28,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",24,"delay in paying off in the past ","furniture equipment ",2333,"unknown no savings account ","Less than 1 year ",4,"male single ","none ",2,"0 to 200 DM 2",29,"no checking account 1","own ",1,"unskilled - resident ",1,"none ","yes "
"true","0 to 200 DM ",27,"delay in paying off in the past ","used car  ",5965,"Less than 100 DM","Greater than 7 years ",1,"male single ","none ",2,"0 to 200 DM 3",30,"no checking account 3","own ",2,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"true","no checking account ",12,"existing credits paid back duly till now ","radio television ",1262,"Less than 100 DM","1 to 4 years ",3,"male single ","none ",2,"0 to 200 DM 3",25,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",18,"existing credits paid back duly till now ","used car  ",3378,"unknown no savings account ","1 to 4 years ",2,"male single ","none ",1,"0 to 200 DM 2",31,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",36,"delay in paying off in the past ","new car  ",2225,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 4",57,"no checking account 1","for free ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",6,"all credits at this bank paid back duly","new car  ",783,"unknown no savings account ","1 to 4 years ",1,"male single ","guarantor ",2,"0 to 200 DM 1",26,"no checking account 2","own ",1,"unskilled - resident ",2,"none ","yes "
"false","0 to 200 DM ",12,"existing credits paid back duly till now ","radio television ",6468,"unknown no savings account ","unemployed ",2,"male single ","none ",1,"0 to 200 DM 4",52,"no checking account 3","own ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"true","no checking account ",36,"critical account other credits existing (not at this bank) ","radio television ",9566,"Less than 100 DM","1 to 4 years ",2,"female divorced separated married ","none ",2,"0 to 200 DM 3",31,"no checking account 2","own ",2,"skilled employee official ",1,"none ","yes "
"true","Greater than 200 DM",18,"existing credits paid back duly till now ","new car  ",1961,"Less than 100 DM","Greater than 7 years ",3,"female divorced separated married ","none ",2,"0 to 200 DM 3",23,"no checking account 3","own ",1,"management self-employed highly qualified employee officer ",1,"none ","yes "
"false","Less than 0 DM ",36,"critical account other credits existing (not at this bank) ","furniture equipment ",6229,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","co-applicant ",4,"0 to 200 DM 4",23,"no checking account 3","rent ",2,"unskilled - resident ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",9,"existing credits paid back duly till now ","business ",1391,"Less than 100 DM","1 to 4 years ",2,"male married widowed ","none ",1,"0 to 200 DM 1",27,"no checking account 1","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",15,"critical account other credits existing (not at this bank) ","radio television ",1537,"unknown no savings account ","Greater than 7 years ",4,"male single ","guarantor ",4,"0 to 200 DM 1",50,"no checking account 3","own ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",36,"no credits taken all credits paid back duly ","business ",1953,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 4",61,"no checking account 3","for free ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",48,"no credits taken all credits paid back duly ","business ",14421,"Less than 100 DM","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 3",25,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",24,"existing credits paid back duly till now ","radio television ",3181,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","none ",4,"0 to 200 DM 2",26,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",27,"existing credits paid back duly till now ","repairs ",5190,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 2",48,"no checking account 3","own ",4,"skilled employee official ",2,"yes registered under the customers name ","yes "
"true","no checking account ",12,"existing credits paid back duly till now ","radio television ",2171,"Less than 100 DM","Less than 1 year ",2,"female divorced separated married ","none ",2,"0 to 200 DM 3",29,"no checking account 1","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",12,"existing credits paid back duly till now ","new car  ",1007,"Greater than 1000 DM ","1 to 4 years ",4,"male married widowed ","none ",1,"0 to 200 DM 1",22,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"false","no checking account ",36,"existing credits paid back duly till now ","education ",1819,"Less than 100 DM","1 to 4 years ",4,"male single ","none ",4,"0 to 200 DM 4",37,"no checking account 2","for free ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",36,"existing credits paid back duly till now ","radio television ",2394,"unknown no savings account ","1 to 4 years ",4,"female divorced separated married ","none ",4,"0 to 200 DM 3",25,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",36,"existing credits paid back duly till now ","used car  ",8133,"Less than 100 DM","1 to 4 years ",1,"female divorced separated married ","none ",2,"0 to 200 DM 2",30,"no checking account 1","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",7,"critical account other credits existing (not at this bank) ","radio television ",730,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",2,"0 to 200 DM 2",46,"no checking account 3","rent ",2,"unskilled - resident ",1,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",8,"critical account other credits existing (not at this bank) ","used car  0",1164,"Less than 100 DM","Greater than 7 years ",3,"male single ","none ",4,"0 to 200 DM 4",51,"no checking account 1","for free ",2,"management self-employed highly qualified employee officer ",2,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",42,"critical account other credits existing (not at this bank) ","business ",5954,"Less than 100 DM","4 to 7 years ",2,"female divorced separated married ","none ",1,"0 to 200 DM 1",41,"no checking account 1","own ",2,"unskilled - resident ",1,"none ","yes "
"false","Less than 0 DM ",36,"existing credits paid back duly till now ","education ",1977,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 4",40,"no checking account 3","own ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",12,"critical account other credits existing (not at this bank) ","used car  ",1526,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 4",66,"no checking account 3","for free ",2,"management self-employed highly qualified employee officer ",1,"none ","yes "
"false","Less than 0 DM ",42,"existing credits paid back duly till now ","radio television ",3965,"Less than 100 DM","Less than 1 year ",4,"male single ","none ",3,"0 to 200 DM 3",34,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",11,"delay in paying off in the past ","radio television ",4771,"Less than 100 DM","4 to 7 years ",2,"male single ","none ",4,"0 to 200 DM 2",51,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",54,"no credits taken all credits paid back duly ","used car  ",9436,"unknown no savings account ","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 2",39,"no checking account 3","own ",1,"unskilled - resident ",2,"none ","yes "
"true","0 to 200 DM ",30,"existing credits paid back duly till now ","furniture equipment ",3832,"Less than 100 DM","Less than 1 year ",2,"male married widowed ","none ",1,"0 to 200 DM 2",22,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"false","no checking account ",24,"existing credits paid back duly till now ","radio television ",5943,"unknown no savings account ","Less than 1 year ",1,"female divorced separated married ","none ",1,"0 to 200 DM 3",44,"no checking account 3","own ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",15,"existing credits paid back duly till now ","radio television ",1213,"500 to 1000 DM ","Greater than 7 years ",4,"male single ","none ",3,"0 to 200 DM 2",47,"no checking account 2","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",18,"existing credits paid back duly till now ","business ",1568,"100 to 500 DM ","1 to 4 years ",3,"female divorced separated married ","none ",4,"0 to 200 DM 2",24,"no checking account 3","rent ",1,"unskilled - resident ",1,"none ","yes "
"true","Less than 0 DM ",24,"existing credits paid back duly till now ","used car  0",1755,"Less than 100 DM","Greater than 7 years ",4,"female divorced separated married ","guarantor ",4,"0 to 200 DM 1",58,"no checking account 3","own ",1,"unskilled - resident ",1,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",10,"existing credits paid back duly till now ","radio television ",2315,"Less than 100 DM","Greater than 7 years ",3,"male single ","none ",4,"0 to 200 DM 1",52,"no checking account 3","own ",1,"unskilled - resident ",1,"none ","yes "
"true","no checking account ",12,"critical account other credits existing (not at this bank) ","business ",1412,"Less than 100 DM","1 to 4 years ",4,"female divorced separated married ","guarantor ",2,"0 to 200 DM 1",29,"no checking account 3","own ",2,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",18,"critical account other credits existing (not at this bank) ","furniture equipment ",1295,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","none ",1,"0 to 200 DM 2",27,"no checking account 3","own ",2,"skilled employee official ",1,"none ","yes "
"false","0 to 200 DM ",36,"existing credits paid back duly till now ","education ",12612,"100 to 500 DM ","1 to 4 years ",1,"male single ","none ",4,"0 to 200 DM 4",47,"no checking account 3","for free ",1,"skilled employee official ",2,"yes registered under the customers name ","yes "
"true","Less than 0 DM ",18,"existing credits paid back duly till now ","new car  ",2249,"100 to 500 DM ","4 to 7 years ",4,"male single ","none ",3,"0 to 200 DM 3",30,"no checking account 3","own ",1,"management self-employed highly qualified employee officer ",2,"yes registered under the customers name ","yes "
"false","Less than 0 DM ",12,"no credits taken all credits paid back duly ","repairs ",1108,"Less than 100 DM","4 to 7 years ",4,"male single ","none ",3,"0 to 200 DM 1",28,"no checking account 3","own ",2,"skilled employee official ",1,"none ","yes "
"true","no checking account ",12,"critical account other credits existing (not at this bank) ","radio television ",618,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 1",56,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","Less than 0 DM ",12,"critical account other credits existing (not at this bank) ","used car  ",1409,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",3,"0 to 200 DM 1",54,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"false","no checking account ",12,"critical account other credits existing (not at this bank) ","radio television ",797,"unknown no savings account ","Greater than 7 years ",4,"female divorced separated married ","none ",3,"0 to 200 DM 2",33,"no checking account 1","own ",1,"unskilled - resident ",2,"none ","yes "
"true","Greater than 200 DM",24,"critical account other credits existing (not at this bank) ","furniture equipment ",3617,"unknown no savings account ","Greater than 7 years ",4,"male single ","co-applicant ",4,"0 to 200 DM 4",20,"no checking account 3","rent ",2,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",12,"existing credits paid back duly till now ","new car  ",1318,"Greater than 1000 DM ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 1",54,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",54,"no credits taken all credits paid back duly ","business ",15945,"Less than 100 DM","Less than 1 year ",3,"male single ","none ",4,"0 to 200 DM 4",58,"no checking account 3","rent ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",12,"critical account other credits existing (not at this bank) ","education ",2012,"unknown no savings account ","4 to 7 years ",4,"female divorced separated married ","none ",2,"0 to 200 DM 3",61,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",18,"existing credits paid back duly till now ","business ",2622,"100 to 500 DM ","1 to 4 years ",4,"male single ","none ",4,"0 to 200 DM 3",34,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",36,"critical account other credits existing (not at this bank) ","radio television ",2337,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 1",36,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",20,"delay in paying off in the past ","used car  ",7057,"unknown no savings account ","4 to 7 years ",3,"male single ","none ",4,"0 to 200 DM 2",36,"no checking account 1","rent ",2,"management self-employed highly qualified employee officer ",2,"yes registered under the customers name ","yes "
"true","no checking account ",24,"existing credits paid back duly till now ","new car  ",1469,"100 to 500 DM ","Greater than 7 years ",4,"male married widowed ","none ",4,"0 to 200 DM 1",41,"no checking account 3","rent ",1,"unskilled - resident ",1,"none ","yes "
"true","0 to 200 DM ",36,"existing credits paid back duly till now ","radio television ",2323,"Less than 100 DM","4 to 7 years ",4,"male single ","none ",4,"0 to 200 DM 3",24,"no checking account 3","rent ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",6,"delay in paying off in the past ","radio television ",932,"Less than 100 DM","1 to 4 years ",3,"female divorced separated married ","none ",2,"0 to 200 DM 1",24,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",9,"critical account other credits existing (not at this bank) ","furniture equipment ",1919,"Less than 100 DM","4 to 7 years ",4,"male single ","none ",3,"0 to 200 DM 3",35,"no checking account 3","rent ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","no checking account ",12,"existing credits paid back duly till now ","used car  ",2445,"unknown no savings account ","Less than 1 year ",2,"male married widowed ","none ",4,"0 to 200 DM 3",26,"no checking account 3","rent ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",24,"critical account other credits existing (not at this bank) ","used car  0",11938,"Less than 100 DM","1 to 4 years ",2,"male single ","co-applicant ",3,"0 to 200 DM 3",39,"no checking account 3","own ",2,"management self-employed highly qualified employee officer ",2,"yes registered under the customers name ","yes "
"false","no checking account ",18,"all credits at this bank paid back duly","new car  ",6458,"Less than 100 DM","Greater than 7 years ",2,"male single ","none ",4,"0 to 200 DM 4",39,"no checking account 1","own ",2,"management self-employed highly qualified employee officer ",2,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",12,"existing credits paid back duly till now ","new car  ",6078,"Less than 100 DM","4 to 7 years ",2,"male single ","none ",2,"0 to 200 DM 3",32,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","Less than 0 DM ",24,"existing credits paid back duly till now ","furniture equipment ",7721,"unknown no savings account ","Less than 1 year ",1,"female divorced separated married ","none ",2,"0 to 200 DM 2",30,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","no "
"true","0 to 200 DM ",14,"existing credits paid back duly till now ","business ",1410,"500 to 1000 DM ","Greater than 7 years ",1,"male married widowed ","none ",2,"0 to 200 DM 1",35,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"true","0 to 200 DM ",6,"delay in paying off in the past ","business ",1449,"100 to 500 DM ","Greater than 7 years ",1,"male divorced separated ","none ",2,"0 to 200 DM 3",31,"no checking account 1","own ",2,"skilled employee official ",2,"none ","yes "
"true","Greater than 200 DM",15,"existing credits paid back duly till now ","education ",392,"Less than 100 DM","Less than 1 year ",4,"female divorced separated married ","none ",4,"0 to 200 DM 2",23,"no checking account 3","rent ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
